date,campus,level,record_type,address,zip,status,violation_count,violations
2026-04-20,ELIOT ELEMENTARY,Elementary,inspection,6411 LAREDO HOUSTON TX,77020,OPEN,2,1 Houston Ordinance Violation: TAC-228.31(E) (Violation Corrected On Site) | 2 Houston Ordinance Violation: 6-303.11(A) (Violation)
2026-04-20,CLEMENTE MARTINEZ ELEMENTARY,Elementary,inspection,901 HAYS HOUSTON TX,77009,OPEN,2,6 Houston Ordinance Violation: 3-202.15 (Violation Corrected On Site) | 34 Houston Ordinance Violation: 3-305.11(A) (Violation)
2026-04-20,CLEMENTE MARTINEZ ELEMENTARY,Elementary,grease_trap,901 HAYS HOUSTON TX,77009,OPEN,0,
2026-04-20,BILLY R. REAGAN EDUCATION CENTER,Elementary,inspection,4842 ANDERSON HOUSTON TX,77053,OPEN,2,1 Houston Ordinance Violation: 5-202.12(C) (Violation) | 2 Houston Ordinance Violation: 5-205.15 (Violation)
2026-04-20,BILLY R. REAGAN EDUCATION CENTER,Elementary,inspection,4842 ANDERSON HOUSTON TX,77053,OPEN,3,1 Houston Ordinance Violation: 4-602.11(E) (Violation) | 2 Houston Ordinance Violation: 6-501.11 (Violation) | 3 Houston Ordinance Violation: 6-501.12(A) (Violation)
2026-04-20,BILLY R. REAGAN EDUCATION CENTER,Elementary,grease_trap,4842 ANDERSON HOUSTON TX,77053,OPEN,0,
2026-04-17,STOVALL MIDDLE SCHOOL,Middle / Jr. High,inspection,11201 AIRLINE HOUSTON TX,77037,OPEN,0,
2026-04-17,STOVALL MIDDLE SCHOOL,Middle / Jr. High,grease_trap,11201 AIRLINE HOUSTON TX,77037,OPEN,0,
2026-04-17,STOVALL MIDDLE SCHOOL,Middle / Jr. High,inspection,11201 AIRLINE HOUSTON TX,77037,OPEN,4,3 Houston Ordinance Violation: 6-301.12(B) (Violation) | 4 Houston Ordinance Violation: 6-301.14 (Violation) | 32 Houston Ordinance Violation: 4-204.112(A) (Violation) | 52 Houston Ordinance Violation: 5-501.114 (Violation)
2026-04-17,ELROD ELEMENTARY SCHOOL,Elementary,inspection,6230 DUMFRIES HOUSTON TX,77096,OPEN,0,
2026-04-17,ALDINE HIGH SCHOOL,High School,inspection,11101 AIRLINE DR HOUSTON TX,77037,OPEN,0,
2026-04-17,ALDINE HIGH SCHOOL,High School,inspection,11101 AIRLINE DR HOUSTON TX,77037,OPEN,0,
2026-04-17,ALDINE HIGH SCHOOL,High School,inspection,11101 AIRLINE DR HOUSTON TX,77037,OPEN,6,16 Houston Ordinance Violation: 3-501.16(A)(2) (Violation Corrected On Site) | 30 Houston Ordinance Violation: 4-204.112(A) (Violation) | 33 Houston Ordinance Violation: 3-305.12 (Violation Corrected On Site) | 42 Houston Ordinance Violation: 4-501.11(A) (Violation) | 50 Houston Ordinance Violation: 5-501.114 (Violation) | 51 Houston Ordinance Violation: 5-501.113 (Violation)
2026-04-16,YES PREP PUBLIC SCHOOLS - NORTH FOREST SECONDARY,Middle / Jr. High,inspection,6602 WINFIELD RD HOUSTON TX,77050,OPEN,6,2 Houston Ordinance Violation: 5-203.11(A) (Violation) | 8 Houston Ordinance Violation: 4-602.12(A) (Violation Repeat) | 46 Houston Ordinance Violation: 5-205.15 (Violation) | 49 Houston Ordinance Violation: 5-501.113 (Violation Repeat) | 50 Houston Ordinance Violation: 5-501.114 (Violation Repeat) | 51 Houston Ordinance Violation: 6-501.12(A) (Violation Repeat)
2026-04-16,YES PREP PUBLIC SCHOOLS - NORTH FOREST SECONDARY,Middle / Jr. High,inspection,6602 WINFIELD RD HOUSTON TX,77050,OPEN,0,
2026-04-16,YES PREP PUBLIC SCHOOLS - NORTH FOREST ELEMENTARY,Elementary,inspection,6602 WINFIELD RD HOUSTON TX,77050,OPEN,7,8 Houston Ordinance Violation: 4-602.12(A) (Violation Repeat) | 44 Houston Ordinance Violation: 4-601.11(C) (Violation Repeat) | 49 Houston Ordinance Violation: 5-501.17 (Violation) | 50 Houston Ordinance Violation: 5-501.113 (Violation Repeat) | 51 Houston Ordinance Violation: 6-201.17(B) (Violation) | 52 Houston Ordinance Violation: 6-501.12(A) (Violation) | 53 Houston Ordinance Violation: COH-21-244(a) (Violation Repeat)
2026-04-16,YES PREP PUBLIC SCHOOLS - NORTH FOREST ELEMENTARY,Elementary,inspection,6602 WINFIELD RD HOUSTON TX,77050,OPEN,0,
2026-04-16,McGOWEN ELEMENTARY,Elementary,grease_trap,6820 HOMESTEAD HOUSTON TX,77028,OPEN,0,
2026-04-16,McGOWEN ELEMENTARY,Elementary,inspection,6820 HOMESTEAD HOUSTON TX,77028,OPEN,0,
2026-04-16,MORRIS 5TH GRADE CENTER,Middle / Jr. High,inspection,10415 FUQUA HOUSTON TX,77089,OPEN,2,1 Houston Ordinance Violation: 4-501.11(A) (Violation) | 2 Houston Ordinance Violation: 6-501.11 (Violation)
2026-04-16,MORRIS 5TH GRADE CENTER,Middle / Jr. High,inspection,10415 FUQUA HOUSTON TX,77089,OPEN,0,
